,gene/TF,region
2509,RELA,DLPFC
6756,NFKB1,DLPFC
3801,NFKB1,Hippocampus
10955,RELA,Hippocampus
483,NFKB1,LTL
1620,RELA,LTL
2420,FOXB2,DLPFC
2422,FOXA2,DLPFC
2423,HOXA6,DLPFC
2424,NEUROG1,DLPFC
2425,SOX14,DLPFC
2426,FOXI2,DLPFC
2428,POU4F2,DLPFC
2429,SP6,DLPFC
2430,ZNF263,DLPFC
2432,ELF5,DLPFC
2433,HOXA13,DLPFC
2434,TLX3,DLPFC
2435,AIRE,DLPFC
2436,NEUROG3,DLPFC
2437,POU3F3,DLPFC
2438,SPIB,DLPFC
2439,FOXD4L1,DLPFC
2441,FOXE1,DLPFC
2443,POU5F1B,DLPFC
2444,STAT3,DLPFC
2445,TBX10,DLPFC
2447,HOXD3,DLPFC
2448,PAX5,DLPFC
2449,TLX1,DLPFC
2450,FOXE3,DLPFC
2452,GATA1,DLPFC
2453,HNF4A,DLPFC
2455,HOXB4,DLPFC
2456,POU2F3,DLPFC
2457,FIGLA,DLPFC
2458,HOXA5,DLPFC
2459,MYOD1,DLPFC
2460,TFAP2B,DLPFC
2461,MAFA,DLPFC
2463,FOXA1,DLPFC
2464,ELF3,DLPFC
2465,ETV7,DLPFC
2466,FOXD4L5,DLPFC
2468,INSM1,DLPFC
2469,NR3C1,DLPFC
2470,PRDM1,DLPFC
2471,E4F1,DLPFC
2472,RXRA,DLPFC
2473,SP7,DLPFC
2474,FOXC2,DLPFC
2475,FOXD4,DLPFC
2477,FOXS1,DLPFC
2479,BATF,DLPFC
2480,ERG,DLPFC
2482,ETS1,DLPFC
2484,FOXJ2,DLPFC
2485,GATA2,DLPFC
2486,IRF1,DLPFC
2488,MAFF,DLPFC
2489,SOX7,DLPFC
2490,FOXD4L3,DLPFC
2492,LHX8,DLPFC
2493,PGR,DLPFC
2494,TFAP2A,DLPFC
2497,TGIF1,DLPFC
2498,E2F8,DLPFC
2499,NFATC1,DLPFC
2500,RFX8,DLPFC
2501,SNAI1,DLPFC
2503,KLF1,DLPFC
2504,GABPA,DLPFC
2505,CEBPD,DLPFC
2506,FOSL2,DLPFC
2507,ETS2,DLPFC
2508,HEYL,DLPFC
2510,SMARCC2,DLPFC
2511,FOSL1,DLPFC
2512,LMO2,DLPFC
2513,SOX21,DLPFC
2515,HNF4G,DLPFC
2516,SP5,DLPFC
539727,CDX4,DLPFC
539728,CTCFL,DLPFC
539732,HOXC11,DLPFC
539733,HOXD11,DLPFC
539734,NKX2-3,DLPFC
539735,NKX2-6,DLPFC
539736,TBX20,DLPFC
539738,TGIF2LY,DLPFC
539746,HOXB9,DLPFC
539749,GCM1,DLPFC
539751,OTP,DLPFC
539765,T,DLPFC
539784,CDX2,DLPFC
