TF,RegulatedGene,Source,Info,CombinedName,Mode of Regulation,References (PMID),TF_entrezID,regulatedGene_entrezID
AATF,CDKN1A,Trrust2,TRRUST2 (Regulation: Unknown),AATF || CDKN1A,Unknown,17157788,26574,1026
AATF,KLK3,Trrust2,TRRUST2 (Regulation: Unknown),AATF || KLK3,Unknown,23146908,26574,354
AATF,MYC,Trrust2,TRRUST2 (Regulation: Activation),AATF || MYC,Activation,20549547,26574,4609
AATF,TP53,Trrust2,TRRUST2 (Regulation: Unknown),AATF || TP53,Unknown,17157788,26574,7157
ABL1,BAX,Trrust2,TRRUST2 (Regulation: Activation),ABL1 || BAX,Activation,11753601,25,581
ABL1,BCL2,Trrust2,TRRUST2 (Regulation: Repression),ABL1 || BCL2,Repression,11753601,25,596
ABL1,BCL6,Trrust2,TRRUST2 (Regulation: Repression),ABL1 || BCL6,Repression,15509806,25,604
ABL1,CCND2,Trrust2,TRRUST2 (Regulation: Activation),ABL1 || CCND2,Activation,15509806,25,894
ABL1,CDKN1A,Trrust2,TRRUST2 (Regulation: Activation),ABL1 || CDKN1A,Activation,11753601;9916993,25,1026
ABL1,CSF1,Trrust2,TRRUST2 (Regulation: Activation),ABL1 || CSF1,Activation,23418320,25,1435
ABL1,CSF1,Trrust2,TRRUST2 (Regulation: Unknown),ABL1 || CSF1,Unknown,18619508,25,1435
ABL1,FOXO3,Trrust2,TRRUST2 (Regulation: Activation),ABL1 || FOXO3,Activation,15509806,25,2309
ABL1,JUN,Trrust2,TRRUST2 (Regulation: Activation),ABL1 || JUN,Activation,15145216,25,3725
ABL1,JUN,Trrust2,TRRUST2 (Regulation: Repression),ABL1 || JUN,Repression,19357699,25,3725
ABL1,PIM1,Trrust2,TRRUST2 (Regulation: Activation),ABL1 || PIM1,Activation,15145216,25,5292
ABL1,TP53,Trrust2,TRRUST2 (Regulation: Activation),ABL1 || TP53,Activation,11753601,25,7157
AES,EPHA3,Trrust2,TRRUST2 (Regulation: Unknown),AES || EPHA3,Unknown,20676368,166,2042
AES,LEF1,Trrust2,TRRUST2 (Regulation: Activation),AES || LEF1,Activation,20676368,166,51176
AES,RND3,Trrust2,TRRUST2 (Regulation: Activation),AES || RND3,Activation,23546594,166,390
AHR,ABCG2,Trrust2,TRRUST2 (Regulation: Unknown),AHR || ABCG2,Unknown,20460431,196,9429
AHR,AHRR,Trrust2,TRRUST2 (Regulation: Activation),AHR || AHRR,Activation,18848529,196,57491
AHR,ARNT,Trrust2,TRRUST2 (Regulation: Unknown),AHR || ARNT,Unknown,19255421;8631989,196,405
AHR,BRCA1,Trrust2,TRRUST2 (Regulation: Unknown),AHR || BRCA1,Unknown,18259752,196,672
