TFs,entrezID
RUNX1,861
TFAP2A,7020
NR2F1,7025
CREB1,1385
E2F1,1869
NFIL3,4783
ELK1,2002
FOXF2,2295
FOXD1,2297
FOXC1,2296
FOXL1,2300
GATA2,2624
GATA3,2625
FOXI1,2299
HLF,3131
NHLH1,4807
IRF1,3659
IRF2,3660
MEF2A,4205
MZF1,7593
MZF1(VAR.2),7593
MAX,4149
MAX::MYC,#N/A
NFYA,4800
NFKB1,4790
GABPA,2551
PPARG::RXRA,#N/A
PPARG,5468
PAX6,5080
PBX1,5087
RORA,6095
RORA(VAR.2),6095
RREB1,6239
RXRA::VDR,#N/A
ELK4,2005
SOX9,6662
SP1,6667
SPI1,6688
SPIB,6689
SRF,6722
SRY,6736
TEAD1,7003
TAL1::TCF3,#N/A
USF1,7391
YY1,7528
ETS1,2113
REL,5966
TP53,7157
RELA,5970
ESR1,2099
NR3C1,2908
NR1H2::RXRA,#N/A
NFIC::TLX1,#N/A
NKX3-1,4824
ZNF354C,30832
HINFP,25988
STAT1,6772
REST,5978
CTCF,10664
FOXA1,3169
EWSR1-FLI1,2130
NFE2L2,4780
NFATC2,4773
HNF1B,6928
INSM1,3642
FEV,54738
FOXO3,2309
HOXA5,3202
RARA::RXRA,#N/A
NR4A2,4929
NFIC,4782
PLAG1,5324
FOS::JUN,#N/A
ESR2,2100
ARNT::HIF1A,#N/A
SOX10,6663
BATF::JUN,#N/A
CDX2,1045
CEBPB,1051
DUX4,100288687
E2F4,1874
E2F6,1876
ELF1,1997
FLI1,2313
FOS,2353
FOSL1,8061
FOSL2,2355
FOXH1,8928
FOXP1,27086
HNF4G,3174
HSF1,3297
JUN,3725
JUN(VAR.2),3725
JUNB,3726
JUND,3727
JUND(VAR.2),3727
MAFF,23764
MAFK,7975
MEF2C,4208
MAF::NFE2,#N/A
NFYB,4801
NR2C2,7182
NRF1,4899
POU2F2,5452
PRDM1,639
RFX5,5993
RUNX2,860
SMAD2::SMAD3::SMAD4,#N/A
SP2,6668
STAT1::STAT2,#N/A
TCF7L2,6934
TFAP2C,7022
TP63,8626
USF2,7392
ZBTB33,10009
ZNF263,10127
AR,367
CEBPA,1050
EBF1,1879
EGR1,1958
HNF4A,3172
PAX5,5079
STAT3,6774
GATA1::TAL1,#N/A
ZEB1,6935
ESRRA,2101
FOXP2,93986
SREBF1,6720
SREBF2,6721
THAP1,55145
EHF,26298
KLF5,688
RFX2,5990
DMRT3,58524
EMX1,2016
FOXG1,2290
LBX1,10660
NFATC3,4775
POU6F1,5463
SHOX,6473
ALX3,257
BARHL2,343472
BHLHE41,79365
CENPB,1059
CREB3,10488
DBP,1628
ELF3,1999
ELF4,2000
ELF5,2001
EN1,2019
EN2,2020
ESX1,80712
ETV6,2120
GCM1,8521
GRHL1,29841
GSC,145258
HEY2,23493
HNF1A,6927
HOXA13,3209
HOXC11,3227
IRF8,3394
IRF9,10379
ISX,91464
JDP2,122953
JDP2(VAR.2),122953
KLF13,51621
LHX6,26468
MAFG,4097
MEF2B,100271849
MEOX1,4222
MIXL1,83881
MLX,6945
MLXIPL,51085
MSC,9242
MSX1,4487
MYF6,4618
NEUROD2,4761
NEUROG2,63973
NFIA,4774
NFIX,4784
NKX2-3,159296
NKX2-8,26257
NKX6-1,4825
NKX6-2,84504
OLIG2,10215
ONECUT1,3175
PAX4,5078
PAX7,5081
POU4F2,5458
RUNX3,864
SP4,6671
SPDEF,25803
SPIC,121599
T,6862
TBX2,6909
TBX20,57057
TBX21,30009
TFAP4,7023
TFCP2,7024
TFEB,7942
ZBTB7B,51043
ZBTB7C,201501
ZIC1,7545
ZIC3,7547
ZBTB18,10472
LBX2,85474
LHX2,9355
LHX9,56956
LMX1A,4009
LMX1B,4010
MEOX2,4223
MNX1,3110
MSX2,4488
NKX3-2,579
NOTO,344022
OTX1,5013
OTX2,5015
PDX1,3651
PHOX2A,401
PITX3,5309
PROP1,5626
PRRX1,5396
RAX2,84839
RAX,30062
RHOXF1,158800
UNCX,340260
VAX1,11023
VAX2,25806
VENTX,27287
VSX1,30813
VSX2,338917
ESRRB,2103
NR3C2,4306
RARA,5914
RARA(VAR.2),5914
BCL6B,255877
EGR2,1959
EGR3,1960
EGR4,1961
GLI2,2736
GLIS1,148979
GLIS2,84662
GLIS3,169792
HIC2,23119
KLF14,136259
KLF16,83855
SCRT1,83482
SCRT2,85508
SNAI2,6591
SP3,6670
SP8,221833
YY2,404281
ZBED1,9189
ZBTB7A,51341
ZIC4,84107
ZNF143,7702
ZNF410,57862
ZNF740,283337
CUX1,1523
CUX2,23316
ONECUT2,9480
ONECUT3,390874
E2F3,1871
E2F7,144455
ELK3,2004
ERF,2077
ERG,2078
ETV1,2115
ETV2,2116
ETV3,2117
ETV4,2118
ETV5,2119
GATA5,140628
GCM2,9247
LEF1,51176
HSF2,3298
HSF4,3299
IRF7,3665
MEF2D,4209
MEIS1,4211
MEIS2,4212
MEIS3,56917
MYBL1,4603
MYBL2,4605
NFKB2,4791
PAX1,5075
PAX3,5077
PAX9,5083
PKNOX1,5316
PKNOX2,63876
POU1F1,5449
POU2F1,5451
POU3F1,5453
POU3F2,5454
POU3F3,5455
POU3F4,5456
POU4F1,5457
POU4F3,5459
POU5F1B,5462
POU6F2,11281
PROX1,5629
SMAD3,4088
TGIF1,7050
TGIF2,60436
RFX3,5991
RFX4,5992
EOMES,8320
MGA,23269
TBR1,10716
TBX15,6913
TBX19,9095
TBX1,6899
TBX4,9496
TBX5,6910
TEAD3,7005
TEAD4,7004
TFAP2A(VAR.2),7020
TFAP2B,7021
TFAP2B(VAR.2),7021
TFAP2B(VAR.3),7021
TFAP2C(VAR.2),7022
TFAP2C(VAR.3),7022
BHLHE40,8553
BHLHE23,128408
BHLHE22,27319
CLOCK,9575
FIGLA,344018
HES5,388585
HES7,84667
HEY1,23462
ID4,3400
MNT,4335
OLIG1,116448
OLIG3,167826
SREBF2(VAR.2),6721
TCF3,6929
TCF4,6925
TFE3,7030
ATF4,468
ATF7,11016
BATF3,55509
CEBPD,1052
CEBPE,1053
CEBPG,1054
CREB3L1,90993
NFE2,4778
NRL,4901
TEF,7008
XBP1,7494
FOXB1,27023
FOXC2,2303
FOXD2,2306
FOXO4,4303
FOXO6,100132074
FOXP3,50943
RXRB,6257
RXRG,6258
TP73,7161
GMEB2,26205
MTF1,4520
E2F2,1870
E2F8,79733
SOX21,11166
SOX4,6659
SOX8,30812
TFEC,22797
TFAP2A(VAR.3),7020
HOXD12,3238
BARX1,56033
BSX,390259
CDX1,1044
DLX6,1750
DUXA,503835
EMX2,2018
EVX1,2128
EVX2,344191
GBX1,2636
GBX2,2637
GSC2,2928
GSX1,219409
GSX2,170825
HESX1,8820
HMBOX1,79618
HOXA10,3206
HOXA2,3199
HOXB13,10481
HOXB2,3212
HOXB3,3213
HOXC10,3226
HOXC12,3228
HOXC13,3229
HOXD11,3237
HOXD13,3239
ISL2,64843
ASCL1,429
BACH2,60468
CTCFL,140690
FOXK1,221937
FOXK2,3607
GATA6,2627
GRHL2,79977
HIF1A,3091
KLF4,9314
KLF9,687
MITF,4286
MXI1,4601
MYC,4609
MYB,4602
MYCN,4613
NEUROD1,4760
NR1H4,9971
NR2F2,7026
NR4A1,3164
PBX2,5089
PBX3,5090
POU5F1,5460
RBPJ,3516
RELB,5971
SIX1,6495
SIX2,10736
SOX13,9580
TEAD2,8463
TFDP1,7027
TWIST1,7291
ZNF24,7572
ZNF384,171017
ZNF282,8427
ZSCAN4,201516
FOS::JUN(VAR.2),#N/A
FOSB::JUN,#N/A
FOSL1::JUN,#N/A
FOSL1::JUN(VAR.2),#N/A
FOSL2::JUN,#N/A
FOSL2::JUN(VAR.2),#N/A
JUN::JUNB,#N/A
JUN::JUNB(VAR.2),#N/A
FOS::JUNB,#N/A
FOSB::JUNB,#N/A
FOSB::JUNB(VAR.2),#N/A
FOSL1::JUNB,#N/A
FOSL2::JUNB,#N/A
FOSL2::JUNB(VAR.2),#N/A
JUNB(VAR.2),3726
FOS::JUND,#N/A
FOSL1::JUND,#N/A
FOSL1::JUND(VAR.2),#N/A
FOSL2::JUND,#N/A
FOSL2::JUND(VAR.2),#N/A
NR1A4::RXRA,#N/A
NR4A2::RXRA,#N/A
PPARA::RXRA,#N/A
RARA::RXRG,#N/A
RORB,6096
RORC,6097
SOX15,6665
VDR,7421
IRF3,3661
IRF4,3662
IRF5,3663
TCF7L1,83439
NR2E3,10002
ZSCAN30,100101467
ZGLP1,100125288
ZBTB42,100128927
ZNF730,100129543
TCF24,100129654
HSFX2,100130086
ZNF316,100131017
SP9,100131390
ZNF705E,100131539
ZNF717,100131827
ZNF705G,100131980
ZNF705B,100132396
ZNF729,100287226
ZNF605,100289635
ZNF783,100289678
ZNF587B,100293516
ZBED6,100381270
HSFX1,100506164
ZNF865,100507290
CCDC169-SOHLH2,100526761
NR1H3,10062
ZNF891,101060200
PREB,10113
MBNL2,10150
CEBPZ,10153
ZNF197,10168
ZNF256,10172
TSHZ1,10194
PRMT3,10196
TOPORS,10210
ZNF443,10224
IRX5,10265
AKAP8,10270
SNAPC5,10302
ZNF267,10308
IKZF1,10320
HMG20B,10362
HMG20A,10363
KLF2,10365
CDX4,1046
NCOA2,10499
ZNF211,10520
DEAF1,10522
BATF,10538
CENPA,1058
DRAP1,10589
MXD4,10608
RBCK1,10616
ARID3B,10620
DMRT2,10655
KLF1,10661
GMEB1,10691
NFAT5,10725
TCFL5,10732
KDM5B,10765
ZBTB6,10773
ZNF234,10780
ZNF266,10781
ZNF274,10782
ZNF460,10794
ZNF268,10795
ZNF275,10838
SRCAP,10847
ARID5A,10865
TRAFD1,10906
ZNF117,51351
ZNF761,388561
SOX30,11063
PRDM5,11107
PRDM4,11108
FOXN3,1112
KAT7,11143
BAZ2A,11176
ZNF277,11179
ZHX1,11244
SP140,11262
GLMP,112770
KLF12,11278
KLF8,11279
RBPJL,11317
ZNF257,113835
ZIM3,114026
MBD6,114785
MYSM1,114803
ZBED9,114821
ZNF618,114991
ZNF554,115196
ZNF689,115509
ZNF501,115560
ZNF653,115950
OSR2,116039
BATF2,116071
DNTTIP1,116092
FOXP4,116113
ZNF526,116115
ZNF837,116412
DACH2,117154
TWIST2,117581
ZNF354B,117608
ZNF511,118472
ZNF488,118738
