"","EntrezID","X21.1A.AD","X20.1T.AD","X23.2A.AD","X22.2T.AD","X26.3A.AD","X24.3T.AD","X27.5A.AD","X25.5T.AD","X29.6T.AD","X31.7T.AD","X28.8T.AD","X30.9T.AD","X18.10A.Old","X11.10T.Old","X19.11A.Old","X13.11T.Old","X15.13T.Old","X16.14T.Old","X12.6A.Old","X14.7A.Old","X10.8A.Old","X17.9A.Old","X2.12A.Young","X4.13A.Young","X6.14A.Young","X8.15A.Young","X9.16A.Young","X3.17T.Young","X5.18T.Young","X7.19T.Young"
"XG",7499,3.340733796,0,2.009263425,2.74862246,1.98656717,0,1.321232085,1.075535744,0,1.047282454,0,0,1.894346945,0,2.221593307,0,0,0.891907215,0,0,1.811821109,1.703622064,2.122764295,0.90207066,0.962369176,0,3.190623942,0,0.862930577,0
"SLC9C2",284525,36.74807175,18.08155014,32.1482148,30.23484706,30.79179113,23.36383321,26.4246417,9.679821699,14.04703074,12.56738945,32.45101481,18.5581458,18.94346945,9.395122318,21.10513642,33.83546358,9.627588038,7.135257719,9.257060726,36.28695304,15.40047943,10.22173239,8.491057181,10.82484791,11.54843011,3.232875094,13.82603708,25.47499616,6.903444618,17.05819905
"LINC00534",100874052,1.113577932,2.009061126,0,0,0.993283585,0,0,2.151071489,2.161081652,2.094564908,0,0.883721229,0.947173473,1.879024464,2.221593307,0,0.962758804,0,0.925706073,2.199209275,2.717731664,0.851811032,1.415176197,0.90207066,1.924738351,0,1.063541314,0,2.588791732,2.843033174
"CELF1",10658,2273.926137,2964.369692,2392.028107,1807.677371,2404.739559,3211.970784,2769.30245,1661.702725,2313.437909,2302.974117,2458.444122,2310.931013,1950.23018,2620.299614,2328.229786,2123.578143,2697.650168,2631.126284,2422.572792,2383.942855,2945.115213,2417.439709,2329.38002,2678.247788,3372.141592,1498.976419,3270.389541,1557.997133,1633.527583,1935.157914
"TIPIN",54962,38.97522762,35.15856971,41.18990021,43.97795936,43.70447773,45.61510293,33.03080212,31.19053658,31.33568396,30.37119117,39.16501788,35.34884915,47.35867363,34.76195258,42.21027284,64.44850205,30.80828172,33.89247417,40.73106719,59.37865044,35.33051163,55.36771709,48.82357879,50.51595693,48.11845879,88.36525258,56.36768964,44.24604596,44.87239002,33.16872037
"LINC00452",643365,0,2.009061126,1.004631712,2.74862246,0.993283585,0,3.963696255,0,0,3.141847362,0,0.883721229,0,28.18536695,0,1.611212551,0,0,0.925706073,0,0.905910555,0.851811032,0,0,0.962369176,0,0,0,0.862930577,0
"OR13H1",347468,1.113577932,0,3.013895137,0,0,0,0,0,1.080540826,0,0,1.767442457,0.947173473,0,1.110796654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRIF1",55791,217.1476967,184.8336236,158.7318106,126.4366332,142.0395526,125.7196739,206.1122052,66.68321615,96.16813352,157.0923681,126.4470577,145.8140027,141.1288474,204.8136665,139.9603784,139.3698857,142.488303,123.9751029,179.5869781,119.8569055,193.8648587,176.3248836,256.1468916,175.0017079,196.3233119,205.826381,103.1635075,92.51445972,209.6921303,90.97706158
"MIR6827",102466744,0,0,0,2.74862246,0,0,0,0,0,0,2.238001022,0.883721229,0,0,0,0,0,0.891907215,0,0,0,1.703622064,0,0,0,1.077625031,0,0,0,0
"S100A4",6275,21.15798071,60.27183379,105.4863298,26.57001711,51.65074641,43.38997596,31.70957004,43.02142977,19.44973487,41.89129816,89.52004086,31.81396423,11.36608167,40.39902597,39.98867953,30.61303848,23.10621129,21.40577316,18.51412145,19.79288348,11.77683721,12.77716548,9.906233378,13.53105989,11.54843011,15.08675044,14.8895784,14.74868199,32.79136194,66.33744074
"HLA-DRB5",3127,130.288618,326.472433,93.43074926,229.0518717,26.81865679,89.00507889,191.5786523,203.2762557,113.4567867,124.626612,257.3701175,325.2094121,377.9222156,138.1082981,345.4577593,579.2309122,274.3862591,83.8392782,118.4903773,95.66560348,30.80095886,334.7617356,145.7631483,145.2333762,116.4466703,622.8672682,38.2874873,439.778881,246.7981451,342.1116587
"MED4",29079,146.992287,158.715829,154.7132837,138.3473305,138.0664183,175.7850308,118.9108876,129.0642893,119.9400317,121.4847647,143.2320654,144.0465603,179.9629598,99.58829657,171.0626847,156.2876175,159.8179614,144.4889688,171.2556234,174.8371374,191.147127,200.1755925,186.803258,208.3783224,230.9686022,224.1460065,130.8155816,109.9447203,151.8757816,113.721327
"PLSCR1",5359,224.9427422,190.860807,175.8105497,313.3429604,147.9992541,164.6593959,253.6765603,194.6719697,115.6178684,158.1396506,145.4700664,222.6977496,183.7516537,223.6039112,299.9150965,414.0816257,142.488303,114.1641235,208.2838663,227.61816,95.12060825,417.3874057,147.8859126,140.7230229,110.6724552,221.9907565,208.4540975,190.3920765,234.717117,175.3203791
"TGFB3",7043,473.270621,546.4646264,448.0657438,1361.484325,1786.917169,2555.558328,784.8118584,4615.123879,3265.394376,397.9673326,1789.281817,722.0002438,3116.200725,362.6517215,420.9919318,798.3558192,513.1504424,515.5223702,1233.040489,1392.099471,286.2677353,719.7803221,629.0458195,497.0409334,200.1727886,3368.655848,433.9248561,4944.830833,1846.671435,2644.020852
"PTGS2",5743,77.95045523,71.32166998,60.27790275,64.13452406,75.48955245,77.87944402,40.95819463,38.71928679,47.54379635,53.41140516,38.04601737,93.67445023,87.13995948,151.2614693,191.0570244,99.08957191,53.91449302,84.73118541,150.8900898,43.98418551,125.0156566,114.9944893,84.20298371,109.1505498,192.4738351,79.74425233,47.85935913,29.49736397,68.1715156,64.44208529
"NPBWR2",2832,8.908623455,2.009061126,4.01852685,0,3.973134339,5.56281743,5.284928339,1.075535744,6.483244957,8.378259633,3.357001532,7.069769829,4.735867363,65.76585622,11.10796654,4.833637654,5.776552823,0.891907215,2.777118218,5.498023189,9.059105547,1.703622064,8.491057181,10.82484791,4.811845879,0,1.063541314,0,0,0.947677725
"ATG16L1",55054,447.6583286,437.9753255,412.9036338,467.2658182,565.1783598,426.1118152,395.0483934,462.48037,460.3103919,518.4048148,465.5042125,503.7211003,519.9982365,709.331735,407.6623719,398.7751065,465.9752611,594.0102051,563.7549982,413.4513438,556.2290806,496.6058317,520.7848404,636.8618856,575.4967671,633.6435185,503.0550415,602.0143828,487.5557762,678.537251
"KIAA1324",57535,648.1023564,691.1170275,527.431649,462.6847808,546.3059717,288.1539429,560.202404,269.9594718,557.5590663,599.0455637,457.6712089,786.5118935,560.7266958,795.7668603,543.1795637,513.9768039,611.3518404,705.498607,772.9645706,548.7027142,837.9672631,650.7836285,648.8582862,856.9671266,970.0681291,121.7716286,816.7997292,167.5986589,228.676603,629.2580093
"NDUFA13",51079,889.7487676,1091.924722,845.8999019,1036.230667,984.3440326,826.6346702,965.820654,885.1659176,1020.03054,862.9607422,813.5133713,1021.58174,1394.239352,1035.342479,830.875897,958.671468,916.5463813,1462.727832,1109.921581,891.7793612,1280.957524,1348.416864,1575.091107,1519.086991,1442.591394,1091.634157,1174.149611,1131.626145,1131.301987,1161.852891
