Gene,EntrezID,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_I,17_I,18_I,19_I,20_I,21_I,22_I,23_M,24_M,25_M,26_M,27_M,28_M,29_M,30_M,31_S,32_S,33_S,34_S,35_S,36_S,37_S
A1CF,29974,6.01399,6.031417,6.069579,5.806502,6.171553,6.307466,5.979069,6.404273,6.270654,6.362876,6.854886,6.230937,6.137863,6.011628,5.843826,6.499661,6.481198,5.963885,6.096206,6.228582,5.900788,5.456985,5.977408,6.180851,6.542677,6.003107,6.9502,6.474259,6.542107,7.050981,5.680468
A2M,2,9.999469,9.992793,9.681458,9.228319,10.24234,9.624342,9.977144,9.639127,9.90932,9.793078,9.096155,9.742465,9.9372,10.34167,10.61126,10.0331,8.962843,10.32457,9.383839,9.150724,9.733243,10.64245,10.10774,10.52229,9.092808,9.896926,8.039921,9.587784,9.540119,9.493676,9.97217
A4GALT,53947,5.177531,5.133735,5.313433,4.967846,5.230078,5.339385,5.259061,5.128209,5.606744,5.339385,5.882232,5.144216,5.291647,5.066121,5.422819,5.198567,5.504299,5.33531,5.654068,5.381545,5.544489,5.372347,5.503962,5.537311,5.296088,5.201534,5.763684,5.502055,5.399458,5.613942,5.250575
A4GNT,51146,5.282019,5.154362,5.308706,5.329959,5.475642,5.268902,5.342928,5.514093,5.391642,5.436487,5.673656,5.400759,5.45257,5.351989,5.347837,5.737859,5.600899,5.38107,5.561116,5.386362,5.292115,5.31692,5.358014,5.409627,5.333503,5.409627,5.561577,5.489133,5.674364,5.462762,5.291501
AAAS,8086,7.748297,7.309856,7.217436,7.245253,7.698633,7.673457,7.5609,7.674527,7.765415,7.411207,7.758837,7.420757,7.654584,7.51258,7.669622,7.61482,7.781512,7.75479,7.60638,7.480589,7.785032,7.656138,7.819013,7.907023,7.1574,7.150868,7.518022,7.60638,7.805809,7.60638,7.529314
AACS,65985,7.770471,8.402352,8.191507,8.521101,7.619749,7.772531,8.015247,7.53172,7.728338,7.877522,7.529549,7.852462,7.651184,7.719537,7.388132,8.048963,7.764242,8.109674,8.00077,8.291613,7.913355,7.774484,7.856134,7.198788,7.809026,7.58569,7.325973,7.970392,6.978647,7.433222,7.33188
AADAC,13,4.678348,4.514818,4.79903,4.372816,4.630693,4.715859,4.635158,4.776812,4.712697,4.678348,5.074008,4.590789,4.831852,4.661645,4.647756,4.797396,4.837916,4.659089,4.759773,4.750892,4.672553,4.497142,4.662757,4.724491,4.574182,4.552119,5.188872,4.594706,4.760073,4.856878,4.617066
AAGAB,79719,6.226451,6.464574,6.7253265,6.537442,6.3794485,6.358456,6.5992075,6.209061,6.200436,6.391855,6.523935,6.478823,6.3689905,6.343774,6.3876105,6.581946,6.559337,6.4158325,6.3903795,6.6010265,6.3788285,6.407645,6.315868,6.239896,6.262899,6.304191,6.4860305,6.410381,6.5494595,6.401259,6.4874385
AAK1,22848,7.1813074,7.7993194,7.7849198,7.5379088,7.036569,7.2376008,7.4762132,7.0130306,7.121036,7.3550276,7.3472566,7.3674614,7.1436692,6.9330542,6.9992496,7.3544,7.1590804,7.3017842,7.1685242,7.377671,6.970068,6.7101848,7.0446562,6.48182,7.207156,7.1354994,7.2653688,7.3682548,6.6377342,6.9885292,7.3731346
AAMDC,28971,5.704679,5.604081667,5.796783333,5.654331667,5.811236667,5.793334667,5.707275333,5.797174,5.799085,5.87257,5.899489333,5.597534333,5.862634667,6.085429,5.861596333,5.761283667,6.001358667,5.783459333,5.867869333,5.776131,5.788024,5.964230667,5.955983,5.919628333,5.729545667,5.760461667,6.036193,5.624105,6.045147333,5.950326667,5.930833
