,currentTF,targetGene,info,sources,numSources,region,TFEntrezId,targetGeneEntrezId,CombinedEntrezName,chromosome,start,end,regulatoryRegion,new_start,new_end,tfAndChrom,targetGeneModule,entrezID,bodyRegion,disease,targetGeneSimplePositivePhenotypes,targetGeneMoreInfoPosPhenotypes,numOfPositivePhenotypesVec,powerUsed,targetGeneModuleSimplePosPhenotypes,moreInfoOnModulePosPhenotypes
0,SOX8,TP73,GENIE3 (Rank: 1946; Weight: 0.0264) || TReNA Ensemble Solver: (pearsonCoeff: 0.578; rfScore: 1.416; betaRidge: 0.062; spearmanCoeff: 0.607; xgboost: 0.002),Genie3 || TReNa,2,MiniFinalDemo_LTL1,30812,7161,30812 || 7161,chr1,3582763,3595993,enhancer,3572763.0,3605993.0,chr1_30812,blue,7161,MiniFinalDemo_LTL1,AlzheimersDisease,,,,20,PercentUniqueAlignedTags,PercentUniqueAlignedTags (r = 0.469)
1,SOX8,TP73,GENIE3 (Rank: 1946; Weight: 0.0264) || TReNA Ensemble Solver: (pearsonCoeff: 0.578; rfScore: 1.416; betaRidge: 0.062; spearmanCoeff: 0.607; xgboost: 0.002),Genie3 || TReNa,2,MiniFinalDemo_LTL1,30812,7161,30812 || 7161,chr1,3611451,3641965,enhancer,3601451.0,3651965.0,chr1_30812,blue,7161,MiniFinalDemo_LTL1,AlzheimersDisease,,,,20,PercentUniqueAlignedTags,PercentUniqueAlignedTags (r = 0.469)
2,RFX2,CR1L,GENIE3 (Rank: 792; Weight: 0.0459) || TReNA Ensemble Solver: (pearsonCoeff: -0.238; rfScore: 1.443; betaRidge: -0.024; spearmanCoeff: -0.247; xgboost: 0.219),Genie3 || TReNa,2,MiniFinalDemo_LTL1,5990,1379,5990 || 1379,chr1,207813458,207818657,promoter,207811458.0,207820657.0,chr1_5990,blue,1379,MiniFinalDemo_LTL1,AlzheimersDisease,"neuronFractionPercents, sepsisRelatedDeaths","neuronFractionPercents (r = 0.472), sepsisRelatedDeaths (r = 0.361)",2.0,20,PercentUniqueAlignedTags,PercentUniqueAlignedTags (r = 0.469)
3,RFX2,CR1L,GENIE3 (Rank: 792; Weight: 0.0459) || TReNA Ensemble Solver: (pearsonCoeff: -0.238; rfScore: 1.443; betaRidge: -0.024; spearmanCoeff: -0.247; xgboost: 0.219),Genie3 || TReNa,2,MiniFinalDemo_LTL1,5990,1379,5990 || 1379,chr1,207750959,207756831,enhancer,207740959.0,207766831.0,chr1_5990,blue,1379,MiniFinalDemo_LTL1,AlzheimersDisease,"neuronFractionPercents, sepsisRelatedDeaths","neuronFractionPercents (r = 0.472), sepsisRelatedDeaths (r = 0.361)",2.0,20,PercentUniqueAlignedTags,PercentUniqueAlignedTags (r = 0.469)
4,RFX2,CR1L,GENIE3 (Rank: 792; Weight: 0.0459) || TReNA Ensemble Solver: (pearsonCoeff: -0.238; rfScore: 1.443; betaRidge: -0.024; spearmanCoeff: -0.247; xgboost: 0.219),Genie3 || TReNa,2,MiniFinalDemo_LTL1,5990,1379,5990 || 1379,chr1,207784446,207784731,enhancer,207774446.0,207794731.0,chr1_5990,blue,1379,MiniFinalDemo_LTL1,AlzheimersDisease,"neuronFractionPercents, sepsisRelatedDeaths","neuronFractionPercents (r = 0.472), sepsisRelatedDeaths (r = 0.361)",2.0,20,PercentUniqueAlignedTags,PercentUniqueAlignedTags (r = 0.469)
5,SPI1,ECHDC3,GENIE3 (Rank: 4548; Weight: 0.0132) || TReNA Ensemble Solver: (pearsonCoeff: -0.104; rfScore: 0.439; betaRidge: -0.022; spearmanCoeff: -0.089; xgboost: 0.004),Genie3 || TReNa,2,MiniFinalDemo_LTL1,6688,79746,6688 || 79746,chr10,11746250,11747582,enhancer,11736250.0,11757582.0,chr10_6688,grey,79746,MiniFinalDemo_LTL1,AlzheimersDisease,liverRelatedDeath,liverRelatedDeath (r = 0.392),1.0,20,"AD, Age.at.death, averageBraak, braak5, braak6, CeradScore, clinicalBraakStage, dementia, healthAndAge, nonNeuronFractionPercents, oldAge","AD (r = 0.538), Age.at.death (r = 0.513), averageBraak (r = 0.615), braak5 (r = 0.538), braak6 (r = 0.538), CeradScore (r = 0.538), clinicalBraakStage (r = 0.629), dementia (r = 0.538), healthAndAge (r = 0.655), nonNeuronFractionPercents (r = 0.439), oldAge (r = 0.598)"
6,SPI1,ECHDC3,GENIE3 (Rank: 4548; Weight: 0.0132) || TReNA Ensemble Solver: (pearsonCoeff: -0.104; rfScore: 0.439; betaRidge: -0.022; spearmanCoeff: -0.089; xgboost: 0.004),Genie3 || TReNa,2,MiniFinalDemo_LTL1,6688,79746,6688 || 79746,chr10,11764019,11765148,enhancer,11754019.0,11775148.0,chr10_6688,grey,79746,MiniFinalDemo_LTL1,AlzheimersDisease,liverRelatedDeath,liverRelatedDeath (r = 0.392),1.0,20,"AD, Age.at.death, averageBraak, braak5, braak6, CeradScore, clinicalBraakStage, dementia, healthAndAge, nonNeuronFractionPercents, oldAge","AD (r = 0.538), Age.at.death (r = 0.513), averageBraak (r = 0.615), braak5 (r = 0.538), braak6 (r = 0.538), CeradScore (r = 0.538), clinicalBraakStage (r = 0.629), dementia (r = 0.538), healthAndAge (r = 0.655), nonNeuronFractionPercents (r = 0.439), oldAge (r = 0.598)"
7,SPI1,ECHDC3,GENIE3 (Rank: 4548; Weight: 0.0132) || TReNA Ensemble Solver: (pearsonCoeff: -0.104; rfScore: 0.439; betaRidge: -0.022; spearmanCoeff: -0.089; xgboost: 0.004),Genie3 || TReNa,2,MiniFinalDemo_LTL1,6688,79746,6688 || 79746,chr10,11753984,11758306,enhancer,11743984.0,11768306.0,chr10_6688,grey,79746,MiniFinalDemo_LTL1,AlzheimersDisease,liverRelatedDeath,liverRelatedDeath (r = 0.392),1.0,20,"AD, Age.at.death, averageBraak, braak5, braak6, CeradScore, clinicalBraakStage, dementia, healthAndAge, nonNeuronFractionPercents, oldAge","AD (r = 0.538), Age.at.death (r = 0.513), averageBraak (r = 0.615), braak5 (r = 0.538), braak6 (r = 0.538), CeradScore (r = 0.538), clinicalBraakStage (r = 0.629), dementia (r = 0.538), healthAndAge (r = 0.655), nonNeuronFractionPercents (r = 0.439), oldAge (r = 0.598)"
8,SPI1,ECHDC3,GENIE3 (Rank: 4548; Weight: 0.0132) || TReNA Ensemble Solver: (pearsonCoeff: -0.104; rfScore: 0.439; betaRidge: -0.022; spearmanCoeff: -0.089; xgboost: 0.004),Genie3 || TReNa,2,MiniFinalDemo_LTL1,6688,79746,6688 || 79746,chr10,11719137,11720695,enhancer,11709137.0,11730695.0,chr10_6688,grey,79746,MiniFinalDemo_LTL1,AlzheimersDisease,liverRelatedDeath,liverRelatedDeath (r = 0.392),1.0,20,"AD, Age.at.death, averageBraak, braak5, braak6, CeradScore, clinicalBraakStage, dementia, healthAndAge, nonNeuronFractionPercents, oldAge","AD (r = 0.538), Age.at.death (r = 0.513), averageBraak (r = 0.615), braak5 (r = 0.538), braak6 (r = 0.538), CeradScore (r = 0.538), clinicalBraakStage (r = 0.629), dementia (r = 0.538), healthAndAge (r = 0.655), nonNeuronFractionPercents (r = 0.439), oldAge (r = 0.598)"
9,SPI1,ECHDC3,GENIE3 (Rank: 4548; Weight: 0.0132) || TReNA Ensemble Solver: (pearsonCoeff: -0.104; rfScore: 0.439; betaRidge: -0.022; spearmanCoeff: -0.089; xgboost: 0.004),Genie3 || TReNa,2,MiniFinalDemo_LTL1,6688,79746,6688 || 79746,chr10,11722283,11732140,enhancer,11712283.0,11742140.0,chr10_6688,grey,79746,MiniFinalDemo_LTL1,AlzheimersDisease,liverRelatedDeath,liverRelatedDeath (r = 0.392),1.0,20,"AD, Age.at.death, averageBraak, braak5, braak6, CeradScore, clinicalBraakStage, dementia, healthAndAge, nonNeuronFractionPercents, oldAge","AD (r = 0.538), Age.at.death (r = 0.513), averageBraak (r = 0.615), braak5 (r = 0.538), braak6 (r = 0.538), CeradScore (r = 0.538), clinicalBraakStage (r = 0.629), dementia (r = 0.538), healthAndAge (r = 0.655), nonNeuronFractionPercents (r = 0.439), oldAge (r = 0.598)"
